Epoch 198, Data Loss: 0.001322758151218295, Physics Loss: 10.960758209228516, Total Loss: 1.0973986387252808, time: 0.58 seconds
Epoch 199, Data Loss: 0.0013224027352407575, Physics Loss: 10.960758209228516, Total Loss: 1.097398281097412, time: 0.44 seconds
Epoch 200, Data Loss: 0.0013220511609688401, Physics Loss: 10.960758209228516, Total Loss: 1.0973979234695435, time: 0.44 seconds
Epoch 201, Data Loss: 0.0013217031955718994, Physics Loss: 10.960758209228516, Total Loss: 1.0973975658416748, time: 0.44 seconds
Epoch 202, Data Loss: 0.001321358373388648, Physics Loss: 10.960758209228516, Total Loss: 1.0973972082138062, time: 0.43 seconds
Epoch 203, Data Loss: 0.0013210161123424768, Physics Loss: 10.960758209228516, Total Loss: 1.0973968505859375, time: 0.44 seconds
Epoch 204, Data Loss: 0.0013206765288487077, Physics Loss: 10.960758209228516, Total Loss: 1.0973966121673584, time: 0.45 seconds
Epoch 205, Data Loss: 0.001320339273661375, Physics Loss: 10.960758209228516, Total Loss: 1.0973962545394897, time: 0.44 seconds
Epoch 206, Data Loss: 0.0013200037647038698, Physics Loss: 10.960758209228516, Total Loss: 1.097395896911621, time: 0.44 seconds
Epoch 207, Data Loss: 0.0013196710497140884, Physics Loss: 10.960758209228516, Total Loss: 1.0973955392837524, time: 0.44 seconds
Epoch 208, Data Loss: 0.001319341012276709, Physics Loss: 10.960758209228516, Total Loss: 1.0973951816558838, time: 0.43 seconds
Epoch 209, Data Loss: 0.001319012138992548, Physics Loss: 10.960758209228516, Total Loss: 1.0973949432373047, time: 0.46 seconds
Epoch 210, Data Loss: 0.001318684546276927, Physics Loss: 10.960758209228516, Total Loss: 1.097394585609436, time: 0.44 seconds
